anno,month,type,value
2018,1,Category 1,25
2018,2,Category 1,15
2018,3,Category 1,27
2018,4,Category 1,100
2018,5,Category 1,54
2018,6,Category 1,23
2018,7,Category 1,31
2018,8,Category 1,17
2018,9,Category 1,8
2018,10,Category 1,102
2018,11,Category 1,32
2018,12,Category 1,35
2018,1,Category 2,19
2018,2,Category 2,240
2018,3,Category 2,27
2018,4,Category 2,12
2018,5,Category 2,19
2018,6,Category 2,100
2018,7,Category 2,31
2018,8,Category 2,25
2018,9,Category 2,20
2018,10,Category 2,480
2018,11,Category 2,21
2018,12,Category 2,10
2018,1,Category 3,190
2018,2,Category 3,3
2018,3,Category 3,32
2018,4,Category 3,23
2018,5,Category 3,900
2018,6,Category 3,17
2018,7,Category 3,248
2018,8,Category 3,290
2018,9,Category 3,32
2018,10,Category 3,33
2018,11,Category 3,19
2018,12,Category 3,204
2018,1,Category 4,12
2018,2,Category 4,430
2018,3,Category 4,12
2018,4,Category 4,23
2018,5,Category 4,140
2018,6,Category 4,190
2018,7,Category 4,220
2018,8,Category 4,39
2018,9,Category 4,22
2018,10,Category 4,206
2018,11,Category 4,301
2018,12,Category 4,205
2018,1,Category 5,17
2018,2,Category 5,948
2018,3,Category 5,3
2018,4,Category 5,800
2018,5,Category 5,14
2018,6,Category 5,190
2018,7,Category 5,320
2018,8,Category 5,480
2018,9,Category 5,206
2018,10,Category 5,26
2018,11,Category 5,31
2018,12,Category 5,25
2018,1,Category 6,17
2018,2,Category 6,90
2018,3,Category 6,100
2018,4,Category 6,80
2018,5,Category 6,14
2018,6,Category 6,19
2018,7,Category 6,32
2018,8,Category 6,48
2018,9,Category 6,26
2018,10,Category 6,26
2018,11,Category 6,31
2018,12,Category 6,25
2017,1,Category 1,25
2017,2,Category 1,150
2017,3,Category 1,27
2017,4,Category 1,100
2017,5,Category 1,54
2017,6,Category 1,73
2017,7,Category 1,60
2017,8,Category 1,17
2017,9,Category 1,8
2017,10,Category 1,102
2017,11,Category 1,32
2017,12,Category 1,35
2017,1,Category 2,50
2017,2,Category 2,240
2017,3,Category 2,27
2017,4,Category 2,12
2017,5,Category 2,50
2017,6,Category 2,300
2017,7,Category 2,60
2017,8,Category 2,25
2017,9,Category 2,20
2017,10,Category 2,500
2017,11,Category 2,21
2017,12,Category 2,10
2017,1,Category 3,500
2017,2,Category 3,3
2017,3,Category 3,32
2017,4,Category 3,73
2017,5,Category 3,900
2017,6,Category 3,17
2017,7,Category 3,250
2017,8,Category 3,290
2017,9,Category 3,32
2017,10,Category 3,33
2017,11,Category 3,50
2017,12,Category 3,204
2017,1,Category 4,12
2017,2,Category 4,430
2017,3,Category 4,12
2017,4,Category 4,73
2017,5,Category 4,140
2017,6,Category 4,500
2017,7,Category 4,220
2017,8,Category 4,39
2017,9,Category 4,22
2017,10,Category 4,206
2017,11,Category 4,301
2017,12,Category 4,205
2017,1,Category 5,17
2017,2,Category 5,950
2017,3,Category 5,3
2017,4,Category 5,800
2017,5,Category 5,14
2017,6,Category 5,500
2017,7,Category 5,320
2017,8,Category 5,500
2017,9,Category 5,206
2017,10,Category 5,26
2017,11,Category 5,60
2017,12,Category 5,25
2017,1,Category 6,17
2017,2,Category 6,90
2017,3,Category 6,300
2017,4,Category 6,8
2017,5,Category 6,14
2017,6,Category 6,50
2017,7,Category 6,32
2017,8,Category 6,50
2017,9,Category 6,26
2017,10,Category 6,26
2017,11,Category 6,60
2017,12,Category 6,25
2016,1,Category 1,25
2016,2,Category 1,148
2016,3,Category 1,27
2016,4,Category 1,100
2016,5,Category 1,54
2016,6,Category 1,73
2016,7,Category 1,60
2016,8,Category 1,17
2016,9,Category 1,87
2016,10,Category 1,102
2016,11,Category 1,32
2016,12,Category 1,35
2016,1,Category 2,48
2016,2,Category 2,240
2016,3,Category 2,27
2016,4,Category 2,112
2016,5,Category 2,48
2016,6,Category 2,100
2016,7,Category 2,60
2016,8,Category 2,25
2016,9,Category 2,20
2016,10,Category 2,480
2016,11,Category 2,21
2016,12,Category 2,10
2016,1,Category 3,480
2016,2,Category 3,3
2016,3,Category 3,32
2016,4,Category 3,73
2016,5,Category 3,900
2016,6,Category 3,17
2016,7,Category 3,248
2016,8,Category 3,290
2016,9,Category 3,312
2016,10,Category 3,33
2016,11,Category 3,48
2016,12,Category 3,204
2016,1,Category 4,12
2016,2,Category 4,430
2016,3,Category 4,12
2016,4,Category 4,73
2016,5,Category 4,140
2016,6,Category 4,480
2016,7,Category 4,220
2016,8,Category 4,39
2016,9,Category 4,22
2016,10,Category 4,206
2016,11,Category 4,301
2016,12,Category 4,205
2016,1,Category 5,117
2016,2,Category 5,948
2016,3,Category 5,31
2016,4,Category 5,800
2016,5,Category 5,14
2016,6,Category 5,480
2016,7,Category 5,32
2016,8,Category 5,48
2016,9,Category 5,206
2016,10,Category 5,26
2016,11,Category 5,60
2016,12,Category 5,25
2016,1,Category 6,170
2016,2,Category 6,90
2016,3,Category 6,100
2016,4,Category 6,800
2016,5,Category 6,140
2016,6,Category 6,480
2016,7,Category 6,320
2016,8,Category 6,48
2016,9,Category 6,26
2016,10,Category 6,26
2016,11,Category 6,60
2016,12,Category 6,25
